id,name,original_season_id,real_name,dob,gender,hometown,location,type,miss_con,final_place,safe,win,high,btm,birth_year,age
Q116,Raven,F10S02,David Petruschin,"April 8, 1979",,"Victorville, CA, USA","Riverside, CA, USA",Pageant,0.0,2,2,2,3,2,1979.0,44.0
Q117,Sahara Davenport,F10S02,Antoine Ashley,"December 17, 1984",Male,"Dallas, TX, USA",,Pageant,0.0,7,2,1,0,2,1984.0,39.0
Q118,Shangela,F10S02,Darius Jeremy Pierce,"November 22, 1981",Male,"Paris, TX, USA","Los Angeles, CA, USA",Club,0.0,12,0,0,0,0,1981.0,42.0
Q119,Tatianna,F10S02,Joey Santolini,"December 1, 1987",,"Falls Church, VA, USA","Washington, D.C., USA",Look,0.0,4,4,1,1,1,1987.0,36.0
Q120,Tyra Sanchez,F10S02,James William Ross IV,"April 22, 1988",Male,"Gainesville, FL, USA","Atlanta, GA, USA",Look,0.0,1,1,4,4,0,1988.0,35.0
Q121,Alexis Mateo,F10S03,Alexis Mateo Pacheco,"July 24, 1979",,"Florida, Puerto Rico","Las Vegas, NV, USA",Pageant,0.0,3,2,3,2,3,1979.0,44.0
Q122,Carmen Carrera,F10S03,Gabriella Carmen Roman,"April 13, 1985",Female,"Elmwood Park, NJ, USA","Los Angeles, CA, USA",Pageant,0.0,5,3,0,1,1,1985.0,38.0
Q123,Delta Work,F10S03,Gabriel Villarreal,"January 23, 1976",,"Norwalk, CA, USA","Los Angeles, CA, USA",Pageant,0.0,7,3,0,1,2,1976.0,47.0
Q124,India Ferrah,F10S03,Shane Richardson,"May 8, 1986",,"Dayton, OH, USA","Las Vegas, NV, USA",Club,0.0,10,2,0,0,1,1986.0,37.0
Q125,Manila Luzon,F10S03,Karl Philip Michael Westerberg,"August 10, 1981",,"Cottage Grove, MN, USA","Los Angeles, CA, USAManila, Philippines",Comedy,0.0,2,3,3,4,1,1981.0,42.0
Q126,Mariah,F10S03,Elijah Kelly,"February 13, 1982",,"Gainesville, GA, USA","Los Angeles, CA, USA",Pageant,0.0,9,1,0,1,0,1982.0,41.0
Q127,Mimi Imfurst,F10S03,Braden Chapman,"March 2, 1983",,"Hanson, MA, USA","Philadelphia, PA, USA",Look,0.0,11,0,0,2,0,1983.0,40.0
Q128,Phoenix,F10S03,Brian Trapp,"December 11, 1979",,"Atlanta, GA, USA",,Spooky,0.0,12,1,0,0,0,1979.0,44.0
Q129,Raja,F10S03,Sutan Ibrahim Karim Amrullah,"June 14, 1974",Non-Binary,"Baldwin Park, CA, USA","Los Angeles, CA, USA",Spooky,0.0,1,3,4,4,1,1974.0,49.0
Q130,Stacy Layne Matthews,F10S03,Stacy Jones,"July 19, 1984",Female,"Back Swamp, NC, USA","Fayetteville, NC, USA",Pageant,0.0,8,1,1,2,1,1984.0,39.0
Q131,Venus D-Lite,F10S03,Adam Daniel Guerra,"September 5, 1984",,"Rosemead, CA, USA","Tampa, FL, USA",Look,0.0,13,0,0,0,0,1984.0,39.0
Q132,Yara Sofia,F10S03,Gabriel Burgos Ortiz,"May 8, 1984",,"Manati, Puerto Rico","Las Vegas, NV, USA",Club,1.0,4,2,1,6,1,1984.0,39.0
Q133,Alisa Summers,F10S04,Alex Hernandez,"June 15, 1988",,"Tampa, FL, USA",,Club,0.0,13,0,0,0,0,1988.0,35.0
Q134,Chad Michaels,F10S04,Chad Michael Storbeck,"March 20, 1971",Male,"San Diego, CA, USA","San Diego, CA, USA",Look,0.0,2,3,2,4,1,1971.0,52.0
Q135,Dida Ritz,F10S04,Xavier Hairston,"December 20, 1986",,"Lansing, MI, USA","Chicago, IL, USA",Club,0.0,6,5,0,0,1,1986.0,37.0
Q136,Jiggly Caliente,F10S04,Bianca Castro,"November 29, 1981",Female,"Queens, New York City, NY, USA","Manila, Philippines",Comedy,0.0,8,3,0,1,2,1981.0,42.0
Q137,Kenya Michaels,F10S04,Kenya Olivera Bonilla,"May 8, 1990",Female,"Dorado, Puerto Rico",,Pageant,0.0,5,1,0,1,0,1990.0,33.0
Q138,Lashauwn Beyond,F10S04,Lashauwn Jackson,"November 11, 1989",Female,"Ft. Lauderdale, FL, USA",,Spooky,0.0,12,0,0,1,0,1989.0,34.0
Q139,Latrice Royale,F10S04,Timothy Wilcots,"February 12, 1972",,"Compton, CA, USA","Miami Beach, FL, USA",Pageant,1.0,4,4,2,1,2,1972.0,51.0
Q140,Madame LaQueer,F10S04,Carlos Melendez,"October 5, 1982",,"Carolina, Puerto Rico","Orange, CA, USA",Pageant,0.0,10,1,1,0,0,1982.0,41.0
Q141,Milan,F10S04,Dwayne Cooper,"May 27, 1975",,"Florence, SC, USA","New York City, NY, USA",Spooky,0.0,9,2,0,1,2,1975.0,48.0
Q142,Phi Phi O'Hara,F10S04,Jaremi Lee Carey,"October 10, 1985",Male,,,Look,0.0,3,3,2,3,1,1985.0,38.0
Q143,Sharon Needles,F10S04,Aaron Coady,"November 28, 1981",,"Newton, IA, USA","Pittsburgh, PA, USA",Spooky,0.0,1,2,5,3,1,1981.0,42.0
Q144,The Princess,F10S04,Adam Biga,"February 27, 1979",,"Omaha, NE, USA","Nashville, TN, USA",Pageant,0.0,11,0,0,1,1,1979.0,44.0
Q145,Willam,F10S04,Willam Bart Belli,"June 30, 1982",,"Philadelphia, PA, USA","Los Angeles, CA, USA",Pageant,0.0,7,3,2,2,1,1982.0,41.0
Q146,Alaska,F10S05,Justin Andrew Honard,"March 6, 1985",,"Erie, PA, USA","Los Angeles, CA, USA",Spooky,0.0,2,2,2,4,0,1985.0,38.0
Q147,Alyssa Edwards,F10S05,Justin Dewayne Lee Johnson,"January 16, 1980",,"Mesquite, TX, USA","Dallas, TX, USA",Club,0.0,6,4,1,0,2,1980.0,43.0
Q148,Coco Montrese,F10S05,Martin Cooper,"July 2, 1974",,"Miami, FL, USA","Las Vegas, NV, USA",Club,0.0,5,4,1,0,3,1974.0,49.0
Q149,Detox,F10S05,Matthew Sanderson,"June 3, 1985",,"Orlando, FL, USA","Chicago, IL, USA",Spooky,0.0,4,5,1,1,2,1985.0,38.0
Q150,Honey Mahogany,F10S05,Alpha Mulugeta,"December 28, 1983",Non-Binary,"San Francisco, CA, USA",,Comedy,0.0,10,2,0,1,0,1983.0,40.0
Q151,Ivy Winters,F10S05,Dustin Winters,"October 5, 1986",,"Greenville, MI, USA","New York City, NY, USA",Look,1.0,7,1,1,3,0,1986.0,37.0
Q152,Jade Jolie,F10S05,Joshua Green,"November 2, 1986",,"Ft. Myers, FL, USA","Louisville, KY, USA",Pageant,0.0,8,4,0,0,0,1986.0,37.0
Q153,Jinkx Monsoon,F10S05,Jerick Hoffer,"September 18, 1987",Non-Binary,"Portland, OR, USA","Portland, OR, USA",Comedy,0.0,1,2,3,6,1,1987.0,36.0
Q154,Lineysha Sparx,F10S05,Andy Trinidad,"July 8, 1988",,"San Juan, Puerto Rico","Orlando, FL, USA",Pageant,0.0,9,2,1,1,0,1988.0,35.0
Q155,Monica Beverly Hillz,F10S05,Monica Michelle DeJesus-Anaya,"January 31, 1985",Female,"Owensboro, KY, USA","Chicago, IL, USA",Pageant,0.0,12,1,0,0,1,1985.0,38.0
Q156,Penny Tration,F10S05,Tony Cody,"October 12, 1972",,"Cincinnati, OH, USA",,Comedy,0.0,14,0,0,0,0,1972.0,51.0
Q157,Roxxxy Andrews,F10S05,Michael Feliciano,"September 23, 1983",,"Miami Beach, FL, United States","Orlando, FL, United States",Look,0.0,3,1,2,5,1,1983.0,40.0
Q158,Serena ChaCha,F10S05,Myron Morgan,"September 17, 1990",,"La Chorrera, Panama","Fort Lauderdale, FL, USA",Club,0.0,13,0,0,0,1,1990.0,33.0
Q159,Vivienne Pinay,F10S05,Michael Donehoo,"August 2, 1985",,"New York City, NY, USA","Los Angeles, CA, USA",Pageant,0.0,11,1,0,1,0,1985.0,38.0
Q160,Adore Delano,F10S06,Daniel Anthony Noriega,"September 29, 1989",Non-Binary,"Azusa, CA, USA","Los Angeles, CA, USA",Spooky,0.0,2,1,3,2,2,1989.0,34.0
Q161,April Carrión,F10S06,Jason Carrión,"April 23, 1989",Genderqueer,"Guaynabo, Puerto Rico",,Club,0.0,11,0,0,1,1,1989.0,34.0
Q162,BenDeLaCreme,F10S06,Benjamin Putnam,"September 24, 1982",Non-Binary,"Litchfield, CT, USA","Los Angeles, CA, USA",Pageant,1.0,5,2,2,3,1,1982.0,41.0
Q163,Bianca Del Rio,F10S06,Roy Renè Haylock,"June 27, 1975",Male,"Gretna, LA, USA","Los Angeles, CA, USA",Comedy,0.0,1,2,4,5,0,1975.0,48.0
Q164,Courtney Act,F10S06,Shane Gilberto Jenek,"February 18, 1982",Genderfluid,"Brisbane, QLD, Australia","London, England, UK",Pageant,0.0,3,5,2,1,0,1982.0,41.0
Q165,Darienne Lake,F10S06,Greg Meyer,"November 27, 1971",Male,"Rochester, NY, USA",,Comedy,0.0,4,2,1,1,3,1971.0,52.0
Q166,Gia Gunn,F10S06,Gia Keitaro Ichikawa,"May 10, 1990",Female,"Carpentersville, IL, USA","Los Angeles, CA, USA",Look,0.0,10,2,0,1,0,1990.0,33.0
Q167,Joslyn Fox,F10S06,Patrick Allen Joslyn,"July 27, 1986",Male,"Worcester, MA, USA",,Pageant,0.0,6,2,0,2,1,1986.0,37.0
Q168,Kelly Mantle,F10S06,Kelly Mantle,"July 9, 1976",Two-Spirit,"Oklahoma City, OK, USA","Los Angeles, CA, USA",Club,0.0,14,0,0,0,0,1976.0,47.0
Q169,Laganja Estranja,F10S06,Jay Jackson,"December 28, 1988",Non-Binary Female,"Dallas, TX, USA","Los Angeles, CA, USA",Spooky,0.0,8,4,1,0,1,1988.0,35.0
Q170,Magnolia Crawford,F10S06,Reynolds Engelhart,"April 14, 1985",Male,"Seattle, WA, USA",,Club,0.0,13,0,0,0,0,1985.0,38.0
Q171,Milk,F10S06,Daniel Donigan,"June 23, 1987",Non-Binary,"Syracuse, NY, USA","New York City, NY, USA",Look,0.0,9,1,0,2,0,1987.0,36.0
Q172,Trinity K. Bonet,F10S06,Joshua Jamal Jones,"January 31, 1991",Male,"Jacksonville, FL, USA","Atlanta, GA, USA",Pageant,0.0,7,1,0,4,2,1991.0,32.0
Q173,Vivacious,F10S06,Osmond Vacious,"March 7, 1974",Male,,"New York City, NY, USA",Pageant,0.0,12,0,0,0,1,1974.0,49.0
Q174,Ginger Minj,F10S07,Joshua Allen Eads,"September 11, 1984",Genderfluid,"Orlando, FL, USA",,Comedy,0.0,2,3,3,3,2,1984.0,39.0
Q175,Jaidynn Diore Fierce,F10S07,Christopher Williams,"December 17, 1988",Male,"Nashville, TN, USA",,Club,0.0,8,2,0,3,2,1988.0,35.0
Q176,Jasmine Masters,F10S07,Martell Robinson,"October 16, 1976",Male,"Los Angeles, CA, USA",,Pageant,0.0,12,1,0,0,0,1976.0,47.0
Q177,Kandy Ho,F10S07,Frank Díaz,"September 24, 1987",Male,"Cayey, Puerto Rico","Orlando, FL, USA",Look,0.0,10,2,0,0,2,1987.0,36.0
Q178,Katya,F10S07,Brian Joseph McCook,"May 1, 1982",Male,"Boston, MA, USA","West Hollywood, CA, USA",Comedy,1.0,5,3,2,4,1,1982.0,41.0
Q179,Kennedy Davenport,F10S07,Reuben Asberry Jr.,"September 9, 1982",Male,"Dallas, TX, USA",,Pageant,0.0,4,3,2,4,2,1982.0,41.0
Q180,Max,F10S07,Max Malanaphy,"June 24, 1992",,"Hudson, WI, USA","Portsmouth, NH, USA",Spooky,0.0,9,4,2,0,0,1992.0,31.0
Q181,Miss Fame,F10S07,Kurtis Dam-Mikkelsen,"March 30, 1985",Genderfluid,"Templeton, CA, USA","Zürich, ZH, Switzerland",Look,0.0,7,2,0,2,0,1985.0,38.0
Q182,Mrs. Kasha Davis,F10S07,Edward Popil,"March 12, 1971",Male,"Rochester, NY, USA",,Club,0.0,11,2,0,2,0,1971.0,52.0
Q183,Pearl,F10S07,Matthew James Lent,"September 11, 1990",Male,"St. Petersburg, FL, USA","Los Angeles, CA, USA",Look,0.0,3,5,2,1,2,1990.0,33.0
Q184,Sasha Belle,F10S07,Jared Breakenridge,"March 19, 1986",Male,"Lennox, IA, USA","Iowa City, IA, USA",Pageant,0.0,13,0,0,0,0,1986.0,37.0
Q185,Tempest DuJour,F10S07,Patrick Holt,"September 1, 1967",Male,"Durham, NC, USA","Tucson, AZ, USA",Comedy,0.0,14,0,0,0,0,1967.0,56.0
Q186,Trixie Mattel,F10S07,Brian Michael Firkus,"August 23, 1989",Male,"Milwaukee, WI, USA","West Hollywood, CA, USA",Comedy,0.0,6,2,0,2,0,1989.0,34.0
Q187,Violet Chachki,F10S07,Paul Jason Dardo,"June 13, 1992",Genderfluid,"Atlanta, GA, USA","Los Angeles, CA, USA",Look,0.0,1,4,4,2,0,1992.0,31.0
Q205,Acid Betty,F10S08,Jamin Ruhren,"December 10, 1977",,"New York City, NY, USA",,Spooky,0.0,8,1,0,3,0,1977.0,46.0
Q206,Bob the Drag Queen,F10S08,Christopher Caldwell,"June 22, 1986",Non-Binary,"Columbus, GA, USA","Los Angeles, CA, USA",Comedy,0.0,1,4,4,0,1,1986.0,37.0
Q207,Chi Chi DeVayne,F10S08,Zavion Michael Davenport,"September 24, 1985",,"Shreveport, LA, USA",,Pageant,0.0,4,3,1,1,2,1985.0,38.0
Q208,Cynthia Lee Fontaine,F10S08,Carlos Díaz Hernández,"February 16, 1981",,"San Juan, PR, USA","Austin, TX, USA",Club,1.0,10,2,0,0,0,1981.0,42.0
Q210,Derrick Barry,F10S08,Derrick Prentice Barry,"July 18, 1983",,"Modesto, CA, USA","Las Vegas, NV, USA",Look,0.0,5,1,1,2,1,1983.0,40.0
Q211,Kim Chi,F10S08,Sang-Young Shin(KO: 신상영),"August 8, 1987",,"Chicago, IL, USA","Los Angeles, CA, USA",Look,0.0,2,2,2,2,0,1987.0,36.0
Q212,Laila McQueen,F10S08,Tyler Devlin,"June 22, 1993",,"Gloucester, MA, USA","Chicago, IL, USA",Spooky,0.0,12,0,0,0,1,1993.0,30.0
Q213,Naomi Smalls,F10S08,Davis Heppenstall,"September 8, 1993",,"Redlands, CA, USA","Los Angeles, CA, USA",Look,0.0,3,2,1,3,1,1993.0,30.0
Q214,Naysha Lopez,F10S08,Fabian Rodriguez,"June 20, 1985",,"Chicago, IL, USA","Los Angeles, California, USA",Pageant,0.0,9,1,0,0,0,1985.0,38.0
Q215,Robbie Turner,F10S08,Jeremy Baird,"July 27, 1982",,"Seattle, WA, USA",,Pageant,0.0,7,1,1,0,1,1982.0,41.0
Q216,Thorgy Thor,F10S08,Shane Thor Galligan,"May 25, 1984",,"Long Island, NY, USA","New York City, NY, USA",Comedy,0.0,6,3,0,3,0,1984.0,39.0
Q217,Aja,F10S09,Aja Oshun,"January 4, 1994",Female,"Brooklyn, New York City, NY, USA",,Club,0.0,9,4,0,1,1,1994.0,29.0
Q218,Alexis Michelle,F10S09,Alex Michaels,"October 16, 1984",,"New York City, NY, USA",,Pageant,0.0,5,4,1,2,1,1984.0,39.0
Q219,Charlie Hides,F10S09,Charlie Hides,"July 12, 1964",Non-Binary,"Boston, MA, USA","London, England, UK",Club,0.0,12,2,0,0,0,1964.0,59.0
Q220,Eureka,F10S09,David Lee Huggard Jr.,"August 26, 1990",Genderfluid,"Johnson City, TN, USA","Los Angeles, CA, USA",Pageant,0.0,11,4,0,1,0,1990.0,33.0
Q221,Farrah Moan,F10S09,Cameron Clayton,"September 11, 1993",Bi Gender,"Houston, TX, USA","Los Angeles, CA, USA",Look,0.0,8,3,0,1,1,1993.0,30.0
Q222,Jaymes Mansfield,F10S09,James Wirth,"February 19, 1990",,"Texas, USA","Las Vegas, NV, USA",Pageant,0.0,14,1,0,0,0,1990.0,33.0
Q223,Kimora Blac,F10S09,Von Nguyen,"December 15, 1988",Non-Binary,"Las Vegas, NV, USA","Los Angeles, CA, USA",Club,0.0,13,1,0,0,1,1988.0,35.0
Q224,Nina Bo'nina Brown,F10S09,Pierre Leverne Dease,"July 12, 1982",Male,"Columbia, SC, USA","Atlanta, GA, USA",Spooky,0.0,6,4,1,1,2,1982.0,41.0
Q225,Peppermint,F10S09,Peppermint,"January 31, 1980",Female,"Wilmington, DE, USA","Manhattan, New York City, NY, USA",Pageant,0.0,2,4,1,3,2,1980.0,43.0
Q226,Sasha Velour,F10S09,"Alexander ""Sasha"" Hedges Steinberg(RU: Александр ""Саша"" Хеджес Штайнберг)","June 25, 1987",Genderfluid/Genderqueer,"Berkeley, CA, USA","Brooklyn, New York City, NY, USA",Club,0.0,1,3,3,5,0,1987.0,36.0
Q227,Shea Couleé,F10S09,Jaren Kyei Marrell,"February 8, 1989",Non-Binary,"Plainfield, IL, USA","Chicago, IL, USA",Pageant,0.0,3,3,4,3,1,1989.0,34.0
Q228,Trinity the Tuck,F10S09,,"December 10, 1984",Non-Binary,"Birmingham, AL, USA","Orlando, FL, USA",Pageant,0.0,4,3,3,2,1,1984.0,39.0
Q229,Valentina,F10S09,James Andrew Leyva,"May 14, 1991",Non-Binary,"Bell, CA, USA","Los Angeles, CA, USA",Look,1.0,7,4,1,3,0,1991.0,32.0
Q230,Amadiva,F13S01,"Pudthawee ""Aom"" Thepkraival(TH: ปัถวี ""ออม"" เทพไกรวัล)","March 24, 1993",,"Bangkok, Thailand",,Comedy,0.0,5,1,1,1,1,1993.0,30.0
Q231,Année Maywong,F13S01,Thainisorn Hengsoontorn(TH: ธนิสร เฮงสุนทร),"January 6, 1987",,"Bangkok, Thailand","Bangkok, Thailand",Club,0.0,2,0,3,2,1,1987.0,36.0
Q232,B Ella,F13S01,Anothai Ngeesantiae(TH: อโนทัย งีสันเทียะ),"August 31, 1987",,"Nakhon Pathom, Thailand","Nakhon Ratchasima, Thailand",Pageant,1.0,4,1,0,2,0,1987.0,36.0
Q233,Bunny Be Fly,F13S01,Kittameth Seethan(TH: กฤตเมธ สีถาน),"May 23, 1991",,Thailand,,Comedy,0.0,9,1,0,0,0,1991.0,32.0
Q234,Dearis Doll,F13S01,Supattarapon Kasikam(TH: สุภัทรภณ กสิกรรม),"December 16, 1987",,"Nakhon Pathom, Thailand","Nakhon Pathom, Thailand",Look,0.0,3,2,2,1,2,1987.0,36.0
Q235,JAJA,F13S01,Angeles R-Jay Carubio,"September 7, 1984",,Philippines,,Comedy,0.0,6,2,1,1,1,1984.0,39.0
Q236,Meannie Minaj,F13S01,"Mananya ""Meantra"" Puengmai(TH: มนัญญา ""มีนตรา"" พึ่งไม้)","March 23, 1991",Female,"Bangkok, Thailand",,Club,0.0,10,0,1,0,0,1991.0,32.0
Q237,Morrigan,F13S01,Chaipong Piwpong(TH: ชัยพงษ์ ผิวผ่อง),"January 15, 1999",,"Bangkok, Thailand",,Pageant,0.0,8,1,0,0,1,1999.0,24.0
Q238,Natalia Pliacam,F13S01,Assadayut Khunviseadpong(TH: อัษฎายุทธ คุณวิเศษพงษ์),"January 7, 1980",,"Bangkok, Thailand",,Pageant,0.0,1,2,3,2,1,1980.0,43.0
Q239,Petchra,F13S01,Panupong Jalruensuk(TH: ภาณุพงศ์ เจริญสุข),"March 11, 1988",,"Rayong, Thailand",,Look,0.0,7,2,0,1,1,1988.0,35.0
Q240,Aquaria,F10S10,Giovanni Palandrani,"February 12, 1996",,"West Chester, PA, USA","Brooklyn, New York City, NY, USA",Look,0.0,1,5,4,1,0,1996.0,27.0
Q241,Asia O'Hara,F10S10,Antwan Mason Lee,"July 7, 1982",,"Grand Prairie, TX, USA","Dallas, TX, USA",Pageant,0.0,4,4,2,2,1,1982.0,41.0
Q242,Blair St. Clair,F10S10,Blair Andrew Bryson,"May 16, 1995",,"Indianapolis, IN, USA","Washington, D.C., USA",Look,0.0,9,2,0,3,0,1995.0,28.0
Q243,Dusty Ray Bottoms,F10S10,Dustin Rayburn,"September 27, 1987",,"Louisville, KY, USA","New York City, NY, USA",Spooky,0.0,11,2,0,0,0,1987.0,36.0
Q245,Kameron Michaels,F10S10,Dane Young,"July 23, 1986",,"Nashville, TN, USA","Los Angeles, CA, USA",Club,0.0,3,3,1,3,3,1986.0,37.0
Q246,Mayhem Miller,F10S10,DeQuan Armand,"February 9, 1982",Male,"Riverside, CA, USA",,Pageant,0.0,10,1,1,1,1,1982.0,41.0
Q247,Miz Cracker,F10S10,Maxwell Elias Heller,"April 19, 1984",,"Seattle, WA, USA","Harlem, New York City, NY, USA",Comedy,0.0,5,2,1,5,0,1984.0,39.0
Q248,Mo Heart,F10S10,Kevin Richardson,"May 22, 1986",Male,"Long Island, NY, USA","Palm Springs, CA, USA",Pageant,0.0,8,4,0,1,0,1986.0,37.0
Q249,Monét X Change,F10S10,Kevin Bertin,"February 19, 1990",Non-Binary,"Brooklyn, New York City, NY, USA","Los Angeles, CA, USA",Club,1.0,6,2,0,5,2,1990.0,33.0
Q250,The Vixen,F10S10,Anthony Taylor,"December 11, 1990",,"Chicago, IL, USA",,Spooky,0.0,7,3,1,0,2,1990.0,33.0
Q251,Vanessa Vanjie Mateo,F10S10,Jose Cancel,"October 3, 1991",,"Tampa, FL, USA","Los Angeles, CA, USA",Pageant,0.0,14,0,0,0,0,1991.0,32.0
Q252,Yuhua Hamasaki,F10S10,Yuhua Ou,"March 1, 1990",Non-Binary,,"New York City, NY, USA",Pageant,0.0,12,1,0,1,0,1990.0,33.0
Q260,Angele Anang,F13S02,Aunchalee Pokinwuttipob(TH: อัญชลี โภคินวุฒิภพ),"September 24, 1994",Female,,"Nakhon Ratchasima, Thailand",Pageant,0.0,1,2,5,2,2,1994.0,29.0
Q261,Bandit,F13S02,Bandit Janthawan(TH: บัณฑิต จันทวรรณ),"July 10, 1985",,,"Bangkok, Thailand",Spooky,0.0,4,3,1,4,0,1985.0,38.0
Q262,Genie,F13S02,Amed Ramesh Gurnani,"November 24, 1989",,,"Los Angeles, CA, USA",Look,0.0,8,3,2,0,0,1989.0,34.0
Q263,Kana Warrior,F13S02,Khanasak Nakrob(TH: คณาศักดิ์ นักรบ),31,,,"Nakhon Sawan, Thailand",Comedy,0.0,2,2,2,0,3,1991.0,32.0
Q264,Kandy Zyanide,F13S02,Sukun Dongnoi(TH: สุกุล ดงน้อย),"November 26, 1993",Female,"Chiang Mai, Thailand",,Pageant,0.0,3,2,3,1,0,1993.0,30.0
Q265,Katy Killer,F13S02,Apidech Rachchompu(TH: อภิเดช ราชชมภู),24,,,Bangkok,Pageant,0.0,12,1,0,0,0,1998.0,25.0
Q266,M Stranger Fox,F13S02,"Chakgai ""M"" Jermkwan(TH: จักกาย ""เอ็ม"" เจิมขวัญ)","September 23, 1985",,,"Bangkok, Thailand",Club,0.0,14,0,0,0,0,1985.0,38.0
Q267,Maya B'Haro,F13S02,Chairath Dhammakirati(TH: ชัยรัตน์ ธรรมกิรติ),"July 7, 1986",,,"Phuket, Thailand",Pageant,1.0,11,0,1,1,0,1986.0,37.0
Q268,Miss Gimhuay,F13S02,"Warit ""First"" Kesmanee(TH: วริทธิ์ ""เฟิร์ส"" เกษมณี)",24,,,,Comedy,0.0,9,0,1,4,0,1998.0,25.0
Q269,Mocha Diva,F13S02,Jay Venn,"October 16, 1989",,Philippines,"Hong Kong, China",Pageant,0.0,10,2,1,1,1,1989.0,34.0
Q270,Silver Sonic,F13S02,"Pumin ""Satang"" Boonmathum(TH: ภูมินทร์ ""สตางค์"" บุญมาธรรม)","July 3, 1997",,"Khon Kaen, Thailand","Bangkok, Thailand",Club,0.0,13,0,0,0,1,1997.0,26.0
Q271,Srimala,F13S02,Monmingkwan Muangmeeros(TH: มนต์มิ่งขวัญ ม่วงมีรส),"September 23, 1990",,,Udon Thani,Comedy,0.0,6,2,1,1,3,1990.0,33.0
Q272,Tormai,F13S02,Apiyarnan Jongpakdee(TH: อภิญานันท์ จงภักดี),"August 26, 1991",,,"Nakhon Si Thammarat, Thailand",Pageant,0.0,7,0,1,2,1,1991.0,32.0
Q273,Vanda Miss Joaquim,F13S02,Azizul Mahathir,"June 8, 1990",,,Singapore,Pageant,0.0,5,2,2,1,2,1990.0,33.0
Q274,A'keria C. Davenport,F10S11,Gregory D'Wayne,"March 1, 1988",,"Dallas, TX, USA","Houston, TX, USA",Pageant,0.0,3,5,2,3,2,1988.0,35.0
Q275,Ariel Versace,F10S11,Bryan Philip Neel,"April 13, 1992",,"Cherry Hill, NJ, USA","Los Angeles, CA, USA",Look,0.0,11,2,0,1,0,1992.0,31.0
Q276,Brooke Lynn Hytes,F10S11,Brock Edward Hayhoe,"March 10, 1986",,"Toronto, ON, Canada","Los Angeles, CA, USA",Club,0.0,2,0,3,6,2,1986.0,37.0
Q277,Honey Davenport,F10S11,James Clark,"August 13, 1986",Non-Binary,"Philadelphia, PA, USA","Los Angeles, CA, USA",Pageant,0.0,13,2,0,0,0,1986.0,37.0
